Rk,Team,Conf,Rec,Elo
1,Gonzaga,WCC,28-4,2297
2,Houston,Amer,32-6,2081
3,Kansas,B12,34-6,2067
4,Baylor,B12,27-7,2037
5,Arizona,P12,33-4,1965
6,Kentucky,SEC,26-8,1949
7,Texas Tech,B12,27-10,1944
8,Duke,ACC,32-7,1911
9,Tennessee,SEC,27-8,1908
10,Villanova,BE,30-8,1872
11,UCLA,P12,27-8,1852
12,Auburn,SEC,28-6,1781
13,Iowa,B10,26-10,1749
14,Purdue,B10,29-8,1725
15,Texas,B12,22-12,1627
16,North Carolina,ACC,29-10,1577
17,Saint Mary's,WCC,26-8,1537
18,Arkansas,SEC,28-9,1532
19,Virginia Tech,ACC,23-13,1492
20,Illinois,B10,23-10,1485
21,LSU,SEC,22-12,1479
22,Connecticut,BE,23-10,1472
23,San Francisco,WCC,24-10,1394
24,Memphis,Amer,22-11,1313
25,San Diego St.,MWC,23-9,1310
26,TCU,B12,21-13,1309
27,Michigan,B10,19-15,1302
28,Alabama,SEC,19-14,1301
29,Loyola Chicago,MVC,25-8,1300
30,Oklahoma,B12,19-16,1299
31,Ohio St.,B10,20-12,1295
32,Providence,BE,27-6,1289
33,Texas A&M,SEC,27-13,1285
34,Oklahoma St.,B12,15-15,1283
35,Wake Forest,ACC,25-10,1283
36,Murray St.,OVC,31-3,1280
37,Wisconsin,B10,25-8,1279
38,Notre Dame,ACC,24-11,1277
39,Boise St.,MWC,27-8,1275
40,Davidson,A10,27-7,1270
41,Miami FL,ACC,26-11,1269
42,Michigan St.,B10,23-13,1268
43,Iowa St.,B12,22-13,1266
44,Washington St.,P12,22-15,1263
45,Dayton,A10,24-11,1263
46,Colorado St.,MWC,25-6,1262
47,USC,P12,26-8,1257
48,Indiana,B10,21-14,1255
49,Mississippi St.,SEC,18-16,1252
50,Creighton,BE,23-12,1250
51,UAB,CUSA,27-8,1248
52,Seton Hall,BE,21-11,1247
53,Xavier,BE,23-13,1242
54,Vermont,AE,28-6,1240
55,St. John's,BE,17-15,1237
56,Marquette,BE,19-13,1237
57,North Texas,CUSA,25-7,1236
58,BYU,WCC,24-11,1235
59,Florida,SEC,20-14,1230
60,Utah St.,MWC,18-16,1229
61,Kansas St.,B12,14-17,1229
62,SMU,Amer,24-9,1228
63,VCU,A10,22-10,1223
64,Vanderbilt,SEC,19-17,1223
65,Wyoming,MWC,25-9,1217
66,West Virginia,B12,16-17,1213
67,Chattanooga,SC,27-8,1209
68,Saint Louis,A10,23-12,1208
69,Syracuse,ACC,16-17,1208
70,Missouri St.,MVC,23-11,1207
71,Clemson,ACC,17-16,1206
72,Virginia,ACC,21-14,1204
73,Fresno St.,MWC,23-13,1202
74,Furman,SC,22-12,1200
75,Towson,CAA,25-9,1198
76,Santa Clara,WCC,21-12,1196
77,Rutgers,B10,18-14,1196
78,St. Bonaventure,A10,23-10,1194
79,Colorado,P12,21-12,1193
80,New Mexico St.,WAC,27-7,1192
81,South Dakota St.,Sum,30-5,1192
82,Oregon,P12,20-15,1187
83,Maryland,B10,15-17,1182
84,Drake,MVC,25-11,1172
85,Richmond,A10,24-13,1171
86,Belmont,OVC,25-8,1171
87,Northwestern,B10,15-16,1170
88,Penn St.,B10,14-17,1169
89,Iona,MAAC,25-8,1162
90,UNLV,MWC,18-14,1159
91,Northern Iowa,MVC,20-12,1153
92,Middle Tennessee,CUSA,26-11,1149
93,Grand Canyon,WAC,23-8,1147
94,Wichita St.,Amer,15-13,1147
95,Toledo,MAC,26-8,1145
96,Bradley,MVC,17-14,1145
97,Arizona St.,P12,14-17,1144
98,Tulane,Amer,14-15,1141
99,South Carolina,SEC,18-13,1136
100,Louisiana Tech,CUSA,24-10,1132
101,Cincinnati,Amer,18-15,1131
102,Saint Peter's,MAAC,22-12,1131
103,DePaul,BE,15-16,1122
104,UCF,Amer,18-12,1113
105,Florida St.,ACC,17-14,1112
106,Stanford,P12,16-16,1110
107,Princeton,Ivy,23-7,1109
108,Mississippi,SEC,13-19,1109
109,Minnesota,B10,13-17,1093
110,Washington,P12,17-15,1093
111,Wofford,SC,19-13,1091
112,Western Kentucky,CUSA,19-13,1088
113,George Mason,A10,14-16,1087
114,Boston College,ACC,13-20,1082
115,Nevada,MWC,13-18,1082
116,Temple,Amer,17-12,1081
117,Colgate,Pat,23-12,1079
118,Morehead St.,OVC,23-11,1078
119,Utah Valley,WAC,20-12,1078
120,Hofstra,CAA,21-11,1071
121,Butler,BE,14-19,1070
122,Utah,P12,20-Nov,1069
123,Stephen F. Austin,WAC,22-10,1069
124,Liberty,ASun,22-11,1069
125,Southern Illinois,MVC,16-15,1066
126,Akron,MAC,24-10,1065
127,Louisville,ACC,13-19,1064
128,N.C. State,ACC,21-Nov,1064
129,Florida Atlantic,CUSA,19-15,1063
130,Buffalo,MAC,19-11,1061
131,Abilene Christian,WAC,25-11,1061
132,Rhode Island,A10,15-16,1059
133,UC Irvine,BW,15-10,1056
134,Ohio,MAC,25-10,1056
135,UC Santa Barbara,BW,17-11,1055
136,Texas St.,SB,21-8,1055
137,Missouri,SEC,21-Dec,1054
138,Montana St.,BSky,27-8,1053
139,Seattle,WAC,23-9,1052
140,Nebraska,B10,22-Oct,1050
141,Delaware,CAA,22-13,1047
142,California,P12,20-Dec,1042
143,Sam Houston St.,WAC,19-14,1041
144,Charleston,CAA,17-15,1040
145,Longwood,BSth,26-7,1039
146,UNC Wilmington,CAA,27-9,1036
147,Yale,Ivy,19-12,1035
148,Jacksonville St.,ASun,21-11,1035
149,Wagner,NEC,21-6,1029
150,Georgia St.,SB,18-11,1028
151,Kent St.,MAC,23-11,1028
152,North Dakota St.,Sum,23-10,1027
153,Drexel,CAA,15-14,1027
154,Cal St. Fullerton,BW,21-11,1026
155,Coastal Carolina,SB,19-14,1023
156,Georgia Tech,ACC,20-Dec,1021
157,South Alabama,SB,21-12,1020
158,Monmouth,MAAC,21-13,1019
159,Winthrop,BSth,23-9,1015
160,Long Beach St.,BW,20-13,1013
161,New Mexico,MWC,13-19,1012
162,Southern Utah,BSky,23-12,1010
163,Saint Joseph's,A10,19-Nov,1010
164,Jacksonville,ASun,21-10,1008
165,Oral Roberts,Sum,19-12,1005
166,Appalachian St.,SB,19-15,1004
