Rk,Team,Conf,Rec,Elo,Three,Two,One,Last.3,Next.Game,HCA,pHCA,Abv,Win,Loss
1,Texas,B12,3-0,1367,1352,1352,1350,17,Away Team,3.8,0.040360585,TEX,3,0
2,Kentucky,SEC,3-1,1350,1350,1371,1368,-18,Away Team,4,0.04340093,UK,3,1
3,Gonzaga,WCC,2-1,1340,1355,1344,1342,-2,Away Team,2.8,0.025158858,GONZ,2,1
4,Virginia,ACC,3-0,1338,1322,1320,1318,20,Away Team,3.2,0.031239549,UVA,3,0
5,Kansas,B12,4-0,1320,1317,1303,1300,20,Away Team,3.8,0.040360585,KU,4,0
6,Houston,Amer,4-0,1315,1314,1309,1304,11,Away Team,3,0.028199203,HOU,4,0
7,Tennessee,SEC,2-1,1311,1309,1334,1334,-23,Away Team,3.7,0.038840412,TENN,2,1
8,North Carolina,ACC,3-0,1306,1303,1300,1297,9,Away Team,3.4,0.034279894,UNC,3,0
9,Baylor,B12,3-1,1305,1321,1318,1315,-10,Away Team,3.6,0.03732024,BAY,3,1
10,Indiana,B10,3-0,1303,1289,1288,1285,18,Away Team,3.4,0.034279894,IU,3,0
11,Auburn,SEC,4-0,1299,1298,1294,1290,9,Away Team,3.7,0.038840412,AUB,4,0
12,Arkansas,SEC,3-0,1294,1288,1285,1282,12,Away Team,3.9,0.041880758,ARK,3,0
13,Arizona,P12,3-0,1293,1291,1289,1287,6,Away Team,3.3,0.032759722,ARIZ,3,0
14,San Diego State,MWC,3-0,1281,1268,1256,1252,29,Away Team,3.6,0.03732024,SDSU,3,0
15,UCLA,P12,3-1,1278,1297,1293,1288,-10,Away Team,3.5,0.035800067,UCLA,3,1
16,Alabama,SEC,4-0,1278,1275,1270,1261,17,Away Team,3.6,0.03732024,ALA,4,0
17,Virginia Tech,ACC,5-0,1272,1257,1252,1251,21,Away Team,3.5,0.035800067,VT,5,0
18,Duke,ACC,3-1,1271,1267,1281,1279,-8,Away Team,3.4,0.034279894,DUKE,3,1
19,Texas Tech,B12,3-0,1265,1260,1259,1259,6,Away Team,4.8,0.055562312,TTU,3,0
20,Iowa,B10,3-0,1260,1245,1242,1240,20,Away Team,4,0.04340093,IOWA,3,0
21,Purdue,B10,3-0,1254,1244,1240,1238,16,Away Team,4,0.04340093,PUR,3,0
22,Michigan State,B10,3-1,1253,1238,1217,1228,25,Away Team,3.6,0.03732024,MSU,3,1
23,Creighton,BE,4-0,1251,1247,1245,1243,8,Away Team,3.4,0.034279894,CREI,4,0
24,UConn,BE,4-0,1251,1248,1243,1239,12,Away Team,4.1,0.044921103,CONN,4,0
25,Illinois,B10,4-0,1246,1227,1223,1220,26,Away Team,3.1,0.029719376,ILL,4,0
26,TCU,B12,3-1,1245,1242,1274,1274,-29,Away Team,4.4,0.049481621,TCU,3,1
27,Saint Mary's,WCC,5-0,1236,1227,1224,1212,24,Away Team,2.7,0.023638685,SMC,5,0
28,Michigan,B10,3-1,1235,1256,1246,1244,-9,Away Team,3.6,0.03732024,MICH,3,1
29,Dayton,A10,3-1,1229,1226,1248,1240,-11,Away Team,3.4,0.034279894,DAY,3,1
30,Miami,ACC,4-0,1229,1214,1213,1203,26,Away Team,3.4,0.034279894,MIA,4,0
31,Ohio State,B10,3-0,1227,1226,1224,1221,6,Away Team,3.8,0.040360585,OSU,3,0
