Rk,Team,Conf,Rec,Elo,Prev,Change,Last 3,Next Game
1,Gonzaga,WCC,0-0,1538,1538,0,0,Away Team
2,Houston,Amer,0-0,1455,1455,0,0,Away Team
3,Kansas,B12,0-0,1450,1450,0,0,Away Team
4,Baylor,B12,0-0,1438,1438,0,0,Away Team
5,Arizona,P12,0-0,1411,1411,0,0,Away Team
6,Kentucky,SEC,0-0,1404,1404,0,0,Away Team
7,Texas Tech,B12,0-0,1402,1402,0,0,Away Team
8,Duke,ACC,0-0,1390,1390,0,0,Away Team
9,Tennessee,SEC,0-0,1389,1389,0,0,Away Team
10,Villanova,BE,0-0,1375,1375,0,0,Away Team
11,UCLA,P12,0-0,1367,1367,0,0,Away Team
12,Auburn,SEC,0-0,1340,1340,0,0,Away Team
13,Iowa,B10,0-0,1328,1328,0,0,Away Team
14,Purdue,B10,0-0,1318,1318,0,0,Away Team
15,Texas,B12,0-0,1280,1280,0,0,Away Team
16,North Carolina,ACC,0-0,1261,1261,0,0,Away Team
17,Saint Mary's,WCC,0-0,1246,1246,0,0,Away Team
18,Arkansas,SEC,0-0,1244,1244,0,0,Away Team
19,Virginia Tech,ACC,0-0,1229,1229,0,0,Away Team
20,Illinois,B10,0-0,1226,1226,0,0,Away Team
21,LSU,SEC,0-0,1223,1223,0,0,Away Team
22,Connecticut,BE,0-0,1221,1221,0,0,Away Team
23,San Francisco,WCC,0-0,1195,1195,0,0,Away Team
24,Memphis,Amer,0-0,1193,1193,0,0,Away Team
25,San Diego St.,MWC,0-0,1191,1191,0,0,Away Team
26,TCU,B12,0-0,1191,1191,0,0,Away Team
27,Michigan,B10,0-0,1186,1186,0,0,Away Team
28,Alabama,SEC,0-0,1186,1186,0,0,Away Team
29,Loyola Chicago,MVC,0-0,1185,1185,0,0,Away Team
30,Oklahoma,B12,0-0,1185,1185,0,0,Away Team
31,Ohio St.,B10,0-0,1182,1182,0,0,Away Team
32,Providence,BE,0-0,1178,1178,0,0,Away Team
33,Texas A&M,SEC,0-0,1176,1176,0,0,Away Team
34,Oklahoma St.,B12,0-0,1175,1175,0,0,Away Team
35,Wake Forest,ACC,0-0,1174,1174,0,0,Away Team
36,Murray St.,OVC,0-0,1173,1173,0,0,Away Team
37,Wisconsin,B10,0-0,1172,1172,0,0,Away Team
38,Notre Dame,ACC,0-0,1171,1171,0,0,Away Team
39,Boise St.,MWC,0-0,1170,1170,0,0,Away Team
40,Davidson,A10,0-0,1166,1166,0,0,Away Team
41,Miami FL,ACC,0-0,1166,1166,0,0,Away Team
42,Michigan St.,B10,0-0,1165,1165,0,0,Away Team
43,Iowa St.,B12,0-0,1164,1164,0,0,Away Team
44,Washington St.,P12,0-0,1162,1162,0,0,Away Team
45,Dayton,A10,0-0,1162,1162,0,0,Away Team
46,Colorado St.,MWC,0-0,1162,1162,0,0,Away Team
47,USC,P12,0-0,1158,1158,0,0,Away Team
48,Indiana,B10,0-0,1157,1157,0,0,Away Team
49,Mississippi St.,SEC,0-0,1155,1155,0,0,Away Team
50,Creighton,BE,0-0,1154,1154,0,0,Away Team
51,UAB,CUSA,0-0,1153,1153,0,0,Away Team
52,Seton Hall,BE,0-0,1153,1153,0,0,Away Team
53,Xavier,BE,0-0,1150,1150,0,0,Away Team
54,Vermont,AE,0-0,1148,1148,0,0,Away Team
55,St. John's,BE,0-0,1146,1146,0,0,Away Team
56,Marquette,BE,0-0,1146,1146,0,0,Away Team
57,North Texas,CUSA,0-0,1145,1145,0,0,Away Team
58,BYU,WCC,0-0,1145,1145,0,0,Away Team
59,Florida,SEC,0-0,1142,1142,0,0,Away Team
60,Utah St.,MWC,0-0,1141,1141,0,0,Away Team
61,Kansas St.,B12,0-0,1141,1141,0,0,Away Team
62,SMU,Amer,0-0,1141,1141,0,0,Away Team
63,VCU,A10,0-0,1138,1138,0,0,Away Team
64,Vanderbilt,SEC,0-0,1137,1137,0,0,Away Team
65,Wyoming,MWC,0-0,1134,1134,0,0,Away Team
66,West Virginia,B12,0-0,1132,1132,0,0,Away Team
67,Chattanooga,SC,0-0,1129,1129,0,0,Away Team
68,Saint Louis,A10,0-0,1128,1128,0,0,Away Team
69,Syracuse,ACC,0-0,1128,1128,0,0,Away Team
70,Missouri St.,MVC,0-0,1128,1128,0,0,Away Team
71,Clemson,ACC,0-0,1127,1127,0,0,Away Team
72,Virginia,ACC,0-0,1126,1126,0,0,Away Team
73,Fresno St.,MWC,0-0,1125,1125,0,0,Away Team
74,Furman,SC,0-0,1123,1123,0,0,Away Team
75,Towson,CAA,0-0,1122,1122,0,0,Away Team
76,Santa Clara,WCC,0-0,1121,1121,0,0,Away Team
77,Rutgers,B10,0-0,1121,1121,0,0,Away Team
