date,game_id,pick_abv,pick_spd,mod_diff,ATS.hit
11/7/2022,401482947,UNCW,23,2.6,TRUE
11/7/2022,401497505,UNF,30.5,6.1,FALSE
11/7/2022,401489651,UNCO,23.5,3.8,FALSE
11/7/2022,401494401,HOW,25,0.5,FALSE
11/7/2022,401483265,MVSU,44.5,13.9,FALSE
11/7/2022,401483275,OMA,33.5,7.5,TRUE
11/7/2022,401482906,DUKE,-15,1.4,TRUE
11/7/2022,401483461,SAC,25.5,2.1,FALSE
11/7/2022,401489571,NDSU,22.5,3.7,TRUE
11/7/2022,401483235,TNTC,35.5,7.5,TRUE
11/7/2022,401483308,UTEP,21.5,0.2,TRUE
11/7/2022,401483344,MORE,24.5,4.1,FALSE
11/7/2022,401483298,UAPB,35,6.4,TRUE
11/7/2022,401483039,AUB,-10,0.4,TRUE
11/7/2022,401484362,VILL,-15,1.3,FALSE
11/7/2022,401482983,UVA,-24,1.6,FALSE
11/7/2022,401491799,CSUF,23,6.4,FALSE
11/7/2022,401488380,LONG,14.5,0.1,FALSE
11/7/2022,401492454,FAMU,30.5,3.7,FALSE
11/7/2022,401483337,EIU,32,5.1,TRUE
11/7/2022,401487612,LIN,31.5,4.8,TRUE
11/7/2022,401483319,NWST,28,2.6,TRUE
11/7/2022,401485025,PAC,14.5,0.8,TRUE
11/7/2022,401486936,COPP,10.5,5.2,FALSE
11/7/2022,401485101,UNO,18.5,7.8,FALSE
11/7/2022,401493749,VAL,13,4.2,FALSE
11/7/2022,401493699,SDST,3.5,1.3,TRUE
11/7/2022,401492424,GB,17.5,2.5,FALSE
11/7/2022,401491665,NJIT,8.5,1.5,FALSE
11/7/2022,401491278,COLG,-3,3.6,FALSE
11/7/2022,401491259,SIE,-1,4.7,TRUE
11/7/2022,401489596,HCU,13.5,9.4,TRUE
11/7/2022,401489506,UMES,11,5.1,FALSE
11/7/2022,401488826,IDHO,9.5,1.5,TRUE
11/7/2022,401488823,WAG,16,4,TRUE
11/7/2022,401488809,KENT,1,4.4,TRUE
11/7/2022,401487662,QUIN,9,5.6,TRUE
11/7/2022,401487449,PENN,6,2.7,FALSE
11/7/2022,401487327,BRWN,12.5,3.5,FALSE
11/7/2022,401484855,NAU,21,2.3,TRUE
11/7/2022,401483411,RUTG,-18.5,1.2,TRUE
11/7/2022,401483398,WIN,13.5,3.7,FALSE
11/7/2022,401483391,RMU,20.5,0.2,FALSE
11/7/2022,401483357,NIA,17,4,FALSE
11/7/2022,401483352,BCU,28.5,6.7,FALSE
11/7/2022,401483328,MSM,17,6.9,FALSE
11/7/2022,401482914,STET,18,0.6,TRUE
11/7/2022,401482897,CIT,18,3.3,TRUE
11/7/2022,401492427,YSU,-4,0.9,TRUE
11/7/2022,401492095,TXST,12,3.8,FALSE
